MembershipNo	 Date	 Active
    18838     2015-6-21   0     
    89077     2017-8-25   0     
    44304     2019-1-17   1     
    35786     2018-10-8   0     
    33664     2020-7-2    0     
    97580     2015-8-7    0     
    59126     2015-12-18  1     
    69703     2016-12-4   1     
    39116     2015-11-19  0     
    72223     2019-8-22   0     
    88067     2020-1-4    1     
    90281     2016-5-5    1     
    35665     2015-9-16   1     
    13651     2016-8-14   1     
    60969     2015-10-4   1     
    43002     2019-8-25   0     
    79601     2016-12-25  0     
    67748     2016-10-22  0     
    53330     2018-2-20   1     
    78817     2019-9-1    1     
